in FB,Date,Venue,City,State,Show,,,,,,,,,,,,,,,,,,
FALSE,"Sunday, August 11, 2002",Tweeter Center,Tinley Park,Illinois,Jeep World Outdoor Festival,Sheryl Crow,Train,o.a.r.,Remy Shand,Silvercrush,Five for Fighting,Maroon 5,Rubyhorse,The Gabe Dixon Band,Jes Hudack,,,,,,,,
FALSE,"Thursday, August 15, 2002",Schubas,Chicago,Illinois,Brian Vander Ark,Chris Gilmartin,,,,,,,,,,,,,,,,,
FALSE,"Monday, August 19, 2002",House of Blues,Chicago,Illinois,Riddlin' Kids,The Gelheads,The Cells,,,,,,,,,,,,,,,,
FALSE,"Thursday, August 22, 2002",Tweeter Center,Tinley Park,Illinois,Goo Goo Dolls,Third Eye Blind,Vanessa Carlton,Fono,Ress,,,,,,,,,,,,,,
FALSE,"Friday, August 23, 2002",Metro,Chicago,Illinois,Roger Clyne & the Peacemakers,Harmony Riley,Cedarcase,Shurman,,,,,,,,,,,,,,,
,"Wednesday, September 25, 2002",NIU Convocation Center,DeKalb,Illinois,Counting Crows,Dishwalla,,,,,,,,,,,,,,,,,
FALSE,"Thursday, October 10, 2002",Shank Hall,Milwaukee,Wisconsin,Roger Clyne & the Peacemakers,Los Proberos,,,,,,,,,,,,,,,,,
FALSE,"Tuesday, October 15, 2002",Morris Performing Arts Center,South Bend,Indiana,Counting Crows,Graham Colton,,,,,,,,,,,,,,,,,
FALSE,"Friday, October 18, 2002",Double Door,Chicago,Illinois,Morris Minors,Magnus,The Snails,,,,,,,,,,,,,,,,
FALSE,"Monday, October 21, 2002",UIC Pavilion,Chicago,Illinois,Counting Crows,o.a.r.,Graham Colton,,,,,,,,,,,,,,,,
FALSE,"Tuesday, October 29, 2002",Park West,Chicago,Illinois,Vanessa Carlton,Ben Lee,,,,,,,,,,,,,,,,,
FALSE,"Saturday, November 16, 2002",Double Door,Chicago,Illinois,Wheat,Verbow,Tracer,Geoff Sabin,,,,,,,,,,,,,,,
FALSE,"Saturday, November 23, 2002",House of Blues,Chicago,Illinois,The Wallflowers,Ours,,,,,,,,,,,,,,,,,
FALSE,"Friday, November 29, 2002",Riverside Theatre,Milwaukee,Wisconsin,Counting Crows,Uncle Kracker,,,,,,,,,,,,,,,,,
FALSE,"Tuesday, February 18, 2003",Vic,Chicago,Illinois,Toad the Wet Sprockett,Wheat,Bleu,,,,,,,,,,,,,,,,
TRUE,"Friday, February 21, 2003",Abbey Pub,Chicago,Illinois,Fastball,Butch Walker,,,,,,,,,,,,,,,,,
FALSE,"Thursday, March 27, 2003",Shank Hall,Milwaukee,Wisconsin,Roger Clyne,Bree Sharp,,,,,,,,,,,,,,,,,
FALSE,"Thursday, April 3, 2003",Riviera,Chicago,Illinois,Everclear,Exies,Longshot,,,,,,,,,,,,,,,,
FALSE,"Sunday, April 27, 2003",Metro,Chicago,Illinois,PXL,Swizzle Tree,Full Range,AMICI,,,,,,,,,,,,,,,
FALSE,"Thursday, May 15, 2003",Abbey Pub,Chicago,Illinois,Butch Walker,Brian Vander Ark,Empreyaen,,,,,,,,,,,,,,,,
TRUE,"Saturday, June 28, 2003",Tweeter Center,Tinley Park,Illinois,Peter Gabriel,Severa Nazarkhan,,,,,,,,,,,,,,,,,
FALSE,"Thursday, October 9, 2003",Double Door,Chicago,Illinois,Eve 6,,,,,,,,,,,,,,,,,,
FALSE,"Friday, February 13, 2004",Fine Line Music Café,Minneapolis,Minnesota,Roger Clyne & the Peacemakers,Scott Laurent,,,,,,,,,,,,,,,,,
TRUE,"Sunday, July 4, 2004",Grant Park,Chicago,Illinois,Taste of Chicago,Counting Crows,,,,,,,,,,,,,,,,,
