venue_id,shows,first_visit,latest_visit,venue_name_recorded,city_id,city,state_region,canonical_venue_name,latitude,longitude,geocode_status
123,1,2013-06-22,2013-06-22,Wicker Park/Damen Ave,39,Chicago,Illinois,Wicker Park/Damen Ave,,,unresolved
124,3,2007-07-05,2012-09-08,Wrigley Field,39,Chicago,Illinois,Wrigley Field,,,unresolved
125,1,2002-09-25,2002-09-25,NIU Convocation Center,40,DeKalb,Illinois,NIU Convocation Center,,,unresolved
126,1,2010-06-13,2010-06-13,Ravinia,41,Highland Park,Illinois,Ravinia,,,unresolved
127,1,2006-09-03,2006-09-03,Rotary Hill,42,Naperville,Illinois,Rotary Hill,,,unresolved
128,1,2007-04-15,2007-04-15,Bradley Field House,43,Peoria,Illinois,Bradley Field House,,,unresolved
129,1,1999-05-05,1999-05-05,Coronado Theatre,44,Rockford,Illinois,Coronado Theatre,,,unresolved
130,3,2001-03-02,2008-12-12,Allstate Arena,45,Rosemont,Illinois,Allstate Arena,,,unresolved
131,6,1995-12-08,1998-12-18,Rosemont Horizon,45,Rosemont,Illinois,Rosemont Horizon,,,unresolved
132,3,2020-10-02,2020-10-04,Schaumburg Boomers Stadium,46,Schaumburg,Illinois,Schaumburg Boomers Stadium,,,unresolved
133,6,2006-07-30,2011-08-20,First Midwest Bank Amphitheatre,47,Tinley Park,Illinois,First Midwest Bank Amphitheatre,,,unresolved
134,21,1995-08-31,2000-08-25,New World Music Theatre,47,Tinley Park,Illinois,New World Music Theatre,,,unresolved
135,6,2001-08-03,2003-06-28,Tweeter Center,47,Tinley Park,Illinois,Tweeter Center,,,unresolved
136,2,1999-09-25,2000-04-08,Canopy Club,48,Urbana,Illinois,Canopy Club,,,unresolved
137,1,1996-10-10,1996-10-10,Odeum,49,Villa Park,Illinois,Odeum,,,unresolved
138,1,2025-06-21,2025-06-21,Downtown Winnetka,50,Winnetka,Illinois,Downtown Winnetka,,,unresolved
139,1,2007-08-04,2007-08-04,Victory Field,51,Indianapolis,Indiana,Victory Field,,,unresolved
140,1,1998-08-15,1998-08-15,Deer Creek Music Center,52,Noblesville,Indiana,Deer Creek Music Center,,,unresolved
141,1,2002-10-15,2002-10-15,Morris Performing Arts Center,53,South Bend,Indiana,Morris Performing Arts Center,,,unresolved
142,1,2007-08-10,2007-08-10,Harrah's Hidden Cove,54,Council Bluff,Iowa,Harrah's Hidden Cove,,,unresolved
143,1,2007-08-11,2007-08-11,Principal Park,55,Des Moines,Iowa,Principal Park,,,unresolved
144,1,2007-08-03,2007-08-03,Louisville Slugger Field,56,Louisville,Kentucky,Louisville Slugger Field,,,unresolved
145,1,2012-07-01,2012-07-01,Ottobar,57,Baltimore,Maryland,Ottobar,,,unresolved
146,1,2008-02-01,2008-02-01,Ram's Head Live,57,Baltimore,Maryland,Ram's Head Live,,,unresolved
147,2,2011-09-23,2011-09-24,St Andrew’s Hall,58,Detroit,Michigan,St Andrew’s Hall,,,unresolved
148,1,2009-07-07,2009-07-07,The Intersection,59,Grand Rapids,Michigan,The Intersection,,,unresolved
149,1,2000-10-08,2000-10-08,The Orbit Room,59,Grand Rapids,Michigan,The Orbit Room,,,unresolved
150,1,1999-07-17,1999-07-17,State Theatre,60,Kalamazoo,Michigan,State Theatre,,,unresolved
151,1,2000-05-28,2000-05-28,Wings Stadium,60,Kalamazoo,Michigan,Wings Stadium,,,unresolved
152,1,2009-07-08,2009-07-08,Meadow Brook Music Festival,61,Rochester Hills,Michigan,Meadow Brook Music Festival,,,unresolved
153,1,2001-09-01,2001-09-01,400 Bar,62,Minneapolis,Minnesota,400 Bar,,,unresolved
154,1,2004-02-13,2004-02-13,Fine Line Music Café,62,Minneapolis,Minnesota,Fine Line Music Café,,,unresolved
155,1,2000-07-09,2000-07-09,Riverport Amphitheatre,63,Maryland Heights,Missouri,Riverport Amphitheatre,,,unresolved
156,1,2012-03-02,2012-03-02,Plush,64,St Louis,Missouri,Plush,,,unresolved
157,1,2023-07-11,2023-07-11,Big Sky Brewing Amphitheatre,65,Missoula,Montana,Big Sky Brewing Amphitheatre,,,unresolved
158,1,2015-10-20,2015-10-20,Freemont Street,66,Las Vegas,Nevada,Freemont Street,,,unresolved
159,1,2026-04-18,2026-04-18,House of Blues Las Vegas,66,Las Vegas,Nevada,House of Blues Las Vegas,,,unresolved
160,2,2022-10-29,2023-10-21,Las Vegas Fairgrounds,66,Las Vegas,Nevada,Las Vegas Fairgrounds,,,unresolved
161,1,2017-10-11,2017-10-11,Mandalay Bay Conference Center,66,Las Vegas,Nevada,Mandalay Bay Conference Center,,,unresolved
162,1,2018-07-14,2018-07-14,The Joint / Hard Rock Hotel & Casino,66,Las Vegas,Nevada,The Joint / Hard Rock Hotel & Casino,,,unresolved
163,1,2019-07-15,2019-07-15,Virginia Street Brewhouse,67,Reno,Nevada,Virginia Street Brewhouse,,,unresolved
164,1,2006-08-25,2006-08-25,Tweeter Center at the Waterfront,68,Camden,New Jersey,Tweeter Center at the Waterfront,,,unresolved
165,3,2012-07-13,2012-07-15,Yeatman’s Cove,69,Cincinnati,Ohio,Yeatman’s Cove,,,unresolved
166,1,2007-07-24,2007-07-24,Classic Park,70,Eastlake,Ohio,Classic Park,,,unresolved
167,1,2012-06-16,2012-06-16,Centennial Terrace,71,Sylvania,Ohio,Centennial Terrace,,,unresolved
168,2,2013-04-27,2018-03-01,Arlene Schnitzer Concert Hall,72,Portland,Oregon,Arlene Schnitzer Concert Hall,,,unresolved
169,2,2019-12-16,2021-10-20,Crystal Ballroom,72,Portland,Oregon,Crystal Ballroom,,,unresolved
170,1,2022-07-15,2022-07-15,Pioneer Square Courthouse,72,Portland,Oregon,Pioneer Square Courthouse,,,unresolved
171,1,2015-12-20,2015-12-20,Revolution Hall,72,Portland,Oregon,Revolution Hall,,,unresolved
172,3,2021-09-09,2026-07-24,Topaz Farm,72,Portland,Oregon,Topaz Farm,,,unresolved
173,1,2021-08-31,2021-08-31,Edgefield Amphitheater,73,Troutdale,Oregon,Edgefield Amphitheater,,,unresolved
174,1,2021-11-06,2021-11-06,XL Live,74,Harrisburg,Pennsylvania,XL Live,,,unresolved
175,2,2008-08-08,2008-08-09,Southside Works,75,Pittsburgh,Pennsylvania,Southside Works,,,unresolved
176,1,2009-06-20,2009-06-20,Orpheum Theatre,76,Memphis,Tennessee,Orpheum Theatre,,,unresolved
177,1,2009-08-11,2009-08-11,Ryman Auditorium,77,Nashville,Tennessee,Ryman Auditorium,,,unresolved
178,1,2025-04-02,2025-04-02,,78,Austin,Texas,,,,unresolved
179,1,2021-09-03,2021-09-03,Ogden Amphitheatre,79,Ogden,Utah,Ogden Amphitheatre,,,unresolved
180,1,2006-08-26,2006-08-26,Nissan Pavillion,80,Bristow,Virginia,Nissan Pavillion,,,unresolved
181,2,2025-07-08,2025-09-03,White River Amphitheater,81,Auburn,Washington,White River Amphitheater,,,unresolved
182,1,2021-10-29,2021-10-29,Wild Buffalo,82,Bellingham,Washington,Wild Buffalo,,,unresolved
183,1,2022-06-13,2022-06-13,Edmonds Center for the Arts,83,Edmonds,Washington,Edmonds Center for the Arts,,,unresolved
184,1,2023-08-11,2023-08-11,Marymoor Live,84,Redmond,Washington,Marymoor Live,,,unresolved
185,1,2026-12-05,2026-12-05,Chop Suey,85,Seattle,Washington,Chop Suey,,,unresolved
186,6,2023-06-01,2026-11-06,Climate Pledge Arena,85,Seattle,Washington,Climate Pledge Arena,,,unresolved
187,1,2024-04-09,2024-04-09,El Corazon,85,Seattle,Washington,El Corazon,,,unresolved
188,1,2026-10-03,2026-10-03,Hidden Hall,85,Seattle,Washington,Hidden Hall,,,unresolved
189,1,2026-08-01,2026-08-01,Lumen Field,85,Seattle,Washington,Lumen Field,,,unresolved
190,2,2022-09-13,2023-05-11,Madame Lou’s,85,Seattle,Washington,Madame Lou’s,,,unresolved
191,1,2026-07-25,2026-07-25,Marymoor Live,85,Seattle,Washington,Marymoor Live,,,unresolved
192,5,2022-07-14,2025-06-18,Neptune Theatre,85,Seattle,Washington,Neptune Theatre,,,unresolved
193,1,2022-10-20,2022-10-20,Neumo’s,85,Seattle,Washington,Neumo’s,,,unresolved
194,7,2022-10-26,2026-07-28,Paramount Theatre,85,Seattle,Washington,Paramount Theatre,,,unresolved
195,1,2014-09-09,2014-09-09,Seattle Center,85,Seattle,Washington,Seattle Center,,,unresolved
196,9,2014-09-10,2026-11-25,Showbox,85,Seattle,Washington,Showbox,,,unresolved
197,10,2022-09-01,2026-09-20,Showbox SODO,85,Seattle,Washington,Showbox SODO,,,unresolved
198,1,2026-03-14,2026-03-14,Sunset Tavern,85,Seattle,Washington,Sunset Tavern,,,unresolved
199,1,2024-05-24,2024-05-24,T-Mobile Park,85,Seattle,Washington,T-Mobile Park,,,unresolved
200,3,2023-03-02,2026-05-15,The Crocodile,85,Seattle,Washington,The Crocodile,,,unresolved
201,3,2021-12-16,2024-02-03,The Moore Theatre,85,Seattle,Washington,The Moore Theatre,,,unresolved
202,1,2023-11-04,2023-11-04,Tim’s Tavern,85,Seattle,Washington,Tim’s Tavern,,,unresolved
203,1,2021-11-02,2021-11-02,Tractor Tavern,85,Seattle,Washington,Tractor Tavern,,,unresolved
204,6,2023-07-15,2026-10-20,WAMU Theater,85,Seattle,Washington,WAMU Theater,,,unresolved
205,1,2023-07-14,2023-07-14,The Podium,86,Spokane,Washington,The Podium,,,unresolved
206,1,2022-05-11,2022-05-11,Alma,87,Tacoma,Washington,Alma,,,unresolved
207,1,2026-09-19,2026-09-19,Dune Peninsula,87,Tacoma,Washington,Dune Peninsula,,,unresolved
208,1,2025-09-14,2025-09-14,Emerald Queen Casino,87,Tacoma,Washington,Emerald Queen Casino,,,unresolved
209,1,2023-09-16,2023-09-16,Chateau Ste Michelle Winery,88,Woodinville,Washington,Chateau Ste Michelle Winery,,,unresolved
210,1,2011-09-03,2011-09-03,Alpine Valley,89,East Troy,Wisconsin,Alpine Valley,,,unresolved
211,1,2010-04-29,2010-04-29,Waldron County Fairgrounds,90,Elkhorn,Wisconsin,Waldron County Fairgrounds,,,unresolved
212,1,2008-10-11,2008-10-11,Resch Center,91,Green Bay,Wisconsin,Resch Center,,,unresolved
213,1,2008-04-12,2008-04-12,(Carthage College),92,Kenosha,Wisconsin,(Carthage College),,,unresolved
214,1,2014-12-13,2014-12-13,Orpheum Theatre,93,Madison,Wisconsin,Orpheum Theatre,,,unresolved
215,1,2010-06-05,2010-06-05,Maier Festival Park Summerfest Grounds,94,Milwaukee,Wisconsin,Maier Festival Park Summerfest Grounds,,,unresolved
216,4,1999-07-02,2001-07-06,Marcus Amphitheatre,94,Milwaukee,Wisconsin,Marcus Amphitheatre,,,unresolved
217,2,1997-11-03,1998-03-14,Modjeska,94,Milwaukee,Wisconsin,Modjeska,,,unresolved
218,8,1999-09-23,2007-04-05,Rave/Eagle's Ballroom,94,Milwaukee,Wisconsin,Rave/Eagle's Ballroom,,,unresolved
219,1,2002-11-29,2002-11-29,Riverside Theatre,94,Milwaukee,Wisconsin,Riverside Theatre,,,unresolved
220,2,2002-10-10,2003-03-27,Shank Hall,94,Milwaukee,Wisconsin,Shank Hall,,,unresolved
221,1,1998-11-18,1998-11-18,Kolf Arena,95,Oshkosh,Wisconsin,Kolf Arena,,,unresolved
